month,year,interest_rate
2,1998,24.0
3,1998,24.0
4,1998,23.0
5,1998,21.5
6,1998,21.5
7,1998,19.0
8,1998,19.0
9,1998,18.0
10,1998,17.0
11,1998,17.0
12,1998,15.5
1,1999,13.0
2,1999,13.0
3,1999,13.0
4,1999,13.0
5,1999,13.0
6,1999,13.0
7,1999,13.0
8,1999,13.0
9,1999,14.0
10,1999,14.0
11,1999,16.5
12,1999,16.5
1,2000,16.5
2,2000,17.5
3,2000,17.5
4,2000,17.5
5,2000,17.5
6,2000,17.5
7,2000,17.5
8,2000,19.0
9,2000,19.0
10,2000,19.0
11,2000,19.0
12,2000,19.0
1,2001,19.0
2,2001,19.0
3,2001,18.0
4,2001,18.0
5,2001,18.0
6,2001,15.5
7,2001,15.5
8,2001,14.5
9,2001,14.5
10,2001,13.0
11,2001,11.5
12,2001,11.5
1,2002,10.0
2,2002,10.0
3,2002,10.0
4,2002,9.5
5,2002,9.0
6,2002,8.5
7,2002,8.5
8,2002,8.0
9,2002,7.5
10,2002,7.0
11,2002,6.75
12,2002,6.75
1,2003,6.5
2,2003,6.25
3,2003,6.0
4,2003,5.75
5,2003,5.5
6,2003,5.25
7,2003,5.25
8,2003,5.25
9,2003,5.25
10,2003,5.25
11,2003,5.25
12,2003,5.25
1,2004,5.25
2,2004,5.25
3,2004,5.25
4,2004,5.25
5,2004,5.25
6,2004,5.25
7,2004,5.75
8,2004,6.5
9,2004,6.5
10,2004,6.5
11,2004,6.5
12,2004,6.5
1,2005,6.5
2,2005,6.5
3,2005,6.0
4,2005,5.5
5,2005,5.5
6,2005,5.0
7,2005,4.75
8,2005,4.75
9,2005,4.5
10,2005,4.5
11,2005,4.5
12,2005,4.5
1,2006,4.5
2,2006,4.25
3,2006,4.0
4,2006,4.0
5,2006,4.0
6,2006,4.0
7,2006,4.0
8,2006,4.0
9,2006,4.0
10,2006,4.0
11,2006,4.0
12,2006,4.0
1,2007,4.0
2,2007,4.0
3,2007,4.0
4,2007,4.25
5,2007,4.25
6,2007,4.5
7,2007,4.5
8,2007,4.75
9,2007,4.75
10,2007,4.75
11,2007,5.0
12,2007,5.0
1,2008,5.25
2,2008,5.5
3,2008,5.75
4,2008,5.75
5,2008,5.75
6,2008,6.0
7,2008,6.0
8,2008,6.0
9,2008,6.0
10,2008,6.0
11,2008,5.75
12,2008,5.0
1,2009,4.25
2,2009,4.0
3,2009,3.75
4,2009,3.75
5,2009,3.75
6,2009,3.5
7,2009,3.5
8,2009,3.5
9,2009,3.5
10,2009,3.5
11,2009,3.5
12,2009,3.5
1,2010,3.5
2,2010,3.5
3,2010,3.5
4,2010,3.5
5,2010,3.5
6,2010,3.5
7,2010,3.5
8,2010,3.5
9,2010,3.5
10,2010,3.5
11,2010,3.5
12,2010,3.5
1,2011,3.75
2,2011,3.75
3,2011,3.75
4,2011,4.0
5,2011,4.25
6,2011,4.5
7,2011,4.5
8,2011,4.5
9,2011,4.5
10,2011,4.5
11,2011,4.5
12,2011,4.5
1,2012,4.5
2,2012,4.5
3,2012,4.5
4,2012,4.5
5,2012,4.75
6,2012,4.75
7,2012,4.75
8,2012,4.75
9,2012,4.75
10,2012,4.75
11,2012,4.5
12,2012,4.25
1,2013,4.0
2,2013,3.75
3,2013,3.25
4,2013,3.25
5,2013,3.0
6,2013,2.75
7,2013,2.5
8,2013,2.5
9,2013,2.5
10,2013,2.5
11,2013,2.5
12,2013,2.5
1,2014,2.5
2,2014,2.5
3,2014,2.5
4,2014,2.5
5,2014,2.5
6,2014,2.5
7,2014,2.5
8,2014,2.5
9,2014,2.5
10,2014,2.0
11,2014,2.0
12,2014,2.0
1,2015,2.0
2,2015,2.0
3,2015,1.5
4,2015,1.5
5,2015,1.5
6,2015,1.5
7,2015,1.5
8,2015,1.5
9,2015,1.5
10,2015,1.5
11,2015,1.5
12,2015,1.5
1,2016,1.5
2,2016,1.5
3,2016,1.5
4,2016,1.5
5,2016,1.5
6,2016,1.5
7,2016,1.5
8,2016,1.5
9,2016,1.5
10,2016,1.5
11,2016,1.5
12,2016,1.5
1,2017,1.5
2,2017,1.5
3,2017,1.5
4,2017,1.5
5,2017,1.5
6,2017,1.5
7,2017,1.5
8,2017,1.5
9,2017,1.5
10,2017,1.5
11,2017,1.5
12,2017,1.5
1,2018,1.5
2,2018,1.5
3,2018,1.5
4,2018,1.5
5,2018,1.5
6,2018,1.5
7,2018,1.5
8,2018,1.5
9,2018,1.5
10,2018,1.5
11,2018,1.5
12,2018,1.5
1,2019,1.5
2,2019,1.5
3,2019,1.5
4,2019,1.5
5,2019,1.5
6,2019,1.5
7,2019,1.5
8,2019,1.5
9,2019,1.5
10,2019,1.5
11,2019,1.5
12,2019,1.5
1,2020,1.5
2,2020,1.5
3,2020,1.0
4,2020,0.5
5,2020,0.1
6,2020,0.1
7,2020,0.1
8,2020,0.1
9,2020,0.1
10,2020,0.1
11,2020,0.1
12,2020,0.1
1,2021,0.1
2,2021,0.1
3,2021,0.1
4,2021,0.1
5,2021,0.1
6,2021,0.1
7,2021,0.1
8,2021,0.1
9,2021,0.1
10,2021,0.5
11,2021,1.25
12,2021,1.75
1,2022,2.25
2,2022,2.75
3,2022,3.5
4,2022,4.5
5,2022,5.25
6,2022,6.0
7,2022,6.5
8,2022,6.5
9,2022,6.75
10,2022,6.75
11,2022,6.75
12,2022,6.75
1,2023,6.75
2,2023,6.75
3,2023,6.75
4,2023,6.75
5,2023,6.75
6,2023,6.75
7,2023,6.75
