inflation,upper,lower,month,year
9.82,11.05,8.6,8,2023
8.72,10.7,6.74,9,2023
7.59,10.19,5.0,10,2023
6.48,9.65,3.31,11,2023
5.41,9.14,1.68,12,2023
4.41,8.7,0.12,1,2024
3.51,8.37,-1.35,2,2024
2.73,8.16,-2.7,3,2024
2.1,8.1,-3.91,4,2024
1.61,8.18,-4.96,5,2024
1.28,8.42,-5.85,6,2024
1.11,8.79,-6.57,7,2024
1.1,9.3,-7.1,8,2024
1.24,9.94,-7.46,9,2024
1.51,10.67,-7.66,10,2024
1.9,11.49,-7.7,11,2024
2.38,12.36,-7.6,12,2024
2.95,13.28,-7.38,1,2025
3.56,14.2,-7.08,2,2025
4.2,15.11,-6.7,3,2025
4.85,15.98,-6.29,4,2025
5.48,16.8,-5.85,5,2025
6.06,17.55,-5.43,6,2025
6.58,18.2,-5.05,7,2025
7.02,18.75,-4.72,8,2025
7.37,19.19,-4.46,9,2025
7.61,19.5,-4.28,10,2025
7.74,19.69,-4.21,11,2025
7.76,19.76,-4.23,12,2025
7.68,19.71,-4.36,1,2026
7.48,19.55,-4.59,2,2026
7.19,19.29,-4.92,3,2026
6.8,18.94,-5.33,4,2026
6.35,18.52,-5.82,5,2026
5.84,18.03,-6.36,6,2026
5.28,17.51,-6.95,7,2026
4.7,16.97,-7.56,8,2026
4.12,16.43,-8.19,9,2026
3.55,15.9,-8.81,10,2026
3.0,15.41,-9.42,11,2026
2.49,14.97,-9.98,12,2026
2.04,14.59,-10.5,1,2027
1.66,14.28,-10.97,2,2027
1.35,14.05,-11.36,3,2027
1.11,13.91,-11.68,4,2027
0.96,13.85,-11.93,5,2027
0.89,13.88,-12.09,6,2027
0.91,13.99,-12.18,7,2027
0.99,14.18,-12.19,8,2027
1.14,14.42,-12.14,9,2027
1.35,14.72,-12.02,10,2027
1.61,15.07,-11.85,11,2027
1.9,15.44,-11.63,12,2027
2.22,15.83,-11.39,1,2028
2.55,16.22,-11.12,2,2028
2.87,16.6,-10.85,3,2028
3.18,16.96,-10.59,4,2028
3.47,17.29,-10.35,5,2028
3.72,17.57,-10.13,6,2028
3.93,17.81,-9.95,7,2028
4.09,17.99,-9.81,8,2028
4.2,18.12,-9.73,9,2028
4.24,18.18,-9.7,10,2028
4.23,18.19,-9.72,11,2028
4.17,18.13,-9.8,12,2028
4.05,18.02,-9.93,1,2029
3.88,17.87,-10.11,2,2029
3.67,17.67,-10.33,3,2029
3.42,17.43,-10.58,4,2029
3.15,17.16,-10.87,5,2029
2.86,16.88,-11.17,6,2029
2.55,16.59,-11.49,7,2029
2.25,16.3,-11.8,8,2029
1.95,16.02,-12.11,9,2029
1.68,15.76,-12.41,10,2029
1.42,15.52,-12.68,11,2029
1.19,15.32,-12.93,12,2029
1.0,15.15,-13.14,1,2030
0.85,15.02,-13.32,2,2030
0.74,14.94,-13.46,3,2030
0.67,14.9,-13.55,4,2030
0.65,14.9,-13.6,5,2030
0.66,14.94,-13.62,6,2030
0.71,15.02,-13.6,7,2030
0.8,15.13,-13.54,8,2030
0.91,15.27,-13.45,9,2030
1.04,15.43,-13.34,10,2030
1.2,15.6,-13.21,11,2030
1.36,15.78,-13.07,12,2030
1.52,15.97,-12.92,1,2031
1.69,16.15,-12.77,2,2031
1.84,16.31,-12.63,3,2031
1.98,16.47,-12.51,4,2031
2.1,16.6,-12.39,5,2031
2.2,16.7,-12.31,6,2031
2.27,16.78,-12.24,7,2031
2.31,16.83,-12.2,8,2031
2.33,16.85,-12.2,9,2031
2.31,16.84,-12.22,10,2031
2.27,16.8,-12.26,11,2031
2.2,16.73,-12.34,12,2031
2.1,16.64,-12.44,1,2032
1.98,16.53,-12.56,2,2032
1.85,16.4,-12.7,3,2032
1.71,16.26,-12.84,4,2032
1.55,16.1,-13.0,5,2032
1.39,15.95,-13.17,6,2032
1.24,15.8,-13.33,7,2032
1.08,15.65,-13.48,8,2032
0.94,15.52,-13.63,9,2032
0.81,15.39,-13.77,10,2032
0.7,15.29,-13.89,11,2032
0.61,15.2,-13.99,12,2032
0.53,15.13,-14.07,1,2033
0.48,15.09,-14.13,2,2033
0.45,15.07,-14.17,3,2033
0.44,15.06,-14.19,4,2033
0.45,15.08,-14.18,5,2033
0.48,15.12,-14.16,6,2033
0.53,15.18,-14.12,7,2033
0.59,15.24,-14.07,8,2033
0.66,15.32,-14.01,9,2033
0.74,15.41,-13.94,10,2033
0.82,15.5,-13.86,11,2033
0.9,15.58,-13.78,12,2033
0.98,15.67,-13.71,1,2034
1.06,15.75,-13.63,2,2034
1.13,15.82,-13.57,3,2034
1.18,15.88,-13.52,4,2034
1.23,15.93,-13.47,5,2034
1.26,15.96,-13.44,6,2034
1.28,15.98,-13.43,7,2034
1.28,15.99,-13.43,8,2034
1.26,15.97,-13.45,9,2034
1.24,15.95,-13.47,10,2034
1.19,15.91,-13.52,11,2034
1.14,15.85,-13.57,12,2034
1.08,15.79,-13.64,1,2035
1.01,15.72,-13.71,2,2035
0.93,15.64,-13.79,3,2035
0.85,15.56,-13.87,4,2035
0.76,15.48,-13.96,5,2035
0.68,15.4,-14.04,6,2035
0.6,15.33,-14.12,7,2035
